Date,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel,Saint-Urbain
01 01 2010,36,0,0,17,37,0,0,0,267
02 01 2010,28,0,0,24,47,0,0,0,114
03 01 2010,39,0,0,22,56,0,0,0,150
04 01 2010,117,0,0,71,237,0,0,0,423
05 01 2010,225,0,0,88,309,0,0,0,836
06 01 2010,203,0,0,102,339,0,0,0,602
07 01 2010,192,0,0,111,307,0,0,0,452
08 01 2010,261,0,0,125,333,0,0,0,488
09 01 2010,88,0,0,49,118,0,0,0,335
10 01 2010,97,0,0,49,93,0,0,0,266
11 01 2010,231,0,0,125,394,0,0,0,595
12 01 2010,277,0,0,151,428,0,0,0,429
13 01 2010,256,0,0,113,403,0,0,0,756
14 01 2010,271,0,0,161,413,0,0,0,521
15 01 2010,301,0,0,174,456,0,0,0,683
16 01 2010,156,0,0,68,191,0,0,0,519
17 01 2010,133,0,0,62,171,0,0,0,332
18 01 2010,277,0,0,152,463,0,0,0,644
19 01 2010,350,0,0,173,483,0,0,0,540
20 01 2010,272,0,0,177,479,0,0,0,544
21 01 2010,318,0,0,197,518,0,0,0,549
22 01 2010,323,0,0,202,493,0,0,0,560
23 01 2010,165,0,0,90,208,0,0,0,580
24 01 2010,146,0,0,75,199,0,0,0,419
25 01 2010,183,0,0,97,362,0,0,0,651
26 01 2010,303,0,0,186,517,0,0,0,574
27 01 2010,376,0,0,198,533,0,0,0,705
28 01 2010,221,0,0,154,361,0,0,0,766
29 01 2010,159,0,0,92,260,0,0,0,389
30 01 2010,56,0,0,37,70,0,0,0,94
31 01 2010,82,0,0,53,77,0,0,0,104
01 02 2010,233,0,0,111,348,0,0,0,241
02 02 2010,270,0,0,136,366,0,0,0,281
03 02 2010,270,0,0,159,444,0,0,0,380
04 02 2010,260,0,0,163,389,0,0,0,376
05 02 2010,246,0,0,181,397,0,0,0,378
06 02 2010,111,0,0,70,149,0,0,0,346
07 02 2010,122,0,0,65,143,0,0,0,282
08 02 2010,222,0,0,147,382,0,0,0,410
09 02 2010,326,0,0,199,442,0,0,0,498
10 02 2010,339,0,0,199,520,0,0,0,439
11 02 2010,355,0,0,233,524,0,0,0,387
12 02 2010,314,0,0,218,455,0,0,0,358
13 02 2010,153,0,0,90,191,0,0,0,290
14 02 2010,131,0,0,66,165,0,0,0,353
15 02 2010,291,0,0,169,513,0,0,0,491
16 02 2010,416,0,0,220,558,0,0,0,473
17 02 2010,415,0,0,225,545,0,0,0,620
18 02 2010,345,0,0,239,581,0,0,0,860
19 02 2010,237,0,0,170,314,0,0,0,435
20 02 2010,124,0,0,74,111,0,0,0,519
21 02 2010,163,0,0,75,108,0,0,0,367
22 02 2010,329,0,0,195,412,0,0,0,381
23 02 2010,251,0,0,151,351,0,0,0,520
24 02 2010,191,0,0,123,293,0,0,0,296
25 02 2010,186,0,0,149,284,0,0,0,266
26 02 2010,214,0,0,127,343,0,0,0,325
27 02 2010,194,0,0,99,170,0,0,0,444
28 02 2010,146,0,0,80,157,0,0,0,321
01 03 2010,398,0,0,255,647,0,0,0,396
02 03 2010,574,0,0,347,945,0,0,0,562
03 03 2010,619,0,0,393,983,0,0,0,583
04 03 2010,624,0,0,431,1 009,0,0,0,906
