,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,Pierre-Dupuy,Rachel,Saint-Urbain,Totem-Laurier,du Parc
Berri,1.000,,0.790,0.935,0.854,0.367,0.650,,,0.862
Brebeuf,,,,,,,,,,
Cote-Sainte-Catherine,0.790,,1.000,0.785,0.759,0.371,0.708,,,0.756
Maisonneuve 1,0.935,,0.785,1.000,0.873,0.294,0.614,,,0.899
Maisonneuve 2,0.854,,0.759,0.873,1.000,0.215,0.644,,,0.919
Pierre-Dupuy,0.367,,0.371,0.294,0.215,1.000,0.371,,,0.242
Rachel,0.650,,0.708,0.614,0.644,0.371,1.000,,,0.594
Saint-Urbain,,,,,,,,,,
Totem-Laurier,,,,,,,,,,
du Parc,0.862,,0.756,0.899,0.919,0.242,0.594,,,1.000
