,2009,2010,2011,2012,2013,Total
Maisonneuve 2,614015.0,1049531.0,1058958.0,1088181.0,841498.0,4652183.0
Berri,741316.0,915055.0,626782.0,925365.0,716025.0,3924543.0
Rachel,0.0,111988.0,720423.0,890780.0,805035.0,2528226.0
Maisonneuve 1,217927.0,436486.0,578167.0,614831.0,458731.0,2306142.0
du Parc,0.0,89726.0,548392.0,577525.0,435720.0,1651363.0
Brebeuf,458356.0,681506.0,0.0,0.0,0.0,1139862.0
Saint-Urbain,583236.0,523812.0,0.0,0.0,0.0,1107048.0
Cote-Sainte-Catherine,0.0,51050.0,297476.0,382339.0,318905.0,1049770.0
Pierre-Dupuy,0.0,14848.0,303471.0,326835.0,300903.0,946057.0
Totem-Laurier,0.0,0.0,0.0,0.0,485145.0,485145.0
